epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8341,1.54634,2.56755,1.79337,0.76111,0.77815,0.79529,0.46616,1.36497,1.96677,1.74166,0.00021435,0.00021435,0.00021435
2,19.7698,1.22494,1.08176,1.38766,0.01479,0.27183,0.01492,0.00951,1.53953,inf,1.95952,0.000437508,0.000437508,0.000437508
3,24.362,1.22516,1.00969,1.40129,0.31648,0.65058,0.33911,0.18725,1.30053,4.92137,1.63852,0.000655007,0.000655007,0.000655007
4,29.0798,1.2367,0.96727,1.36618,0.2891,0.35453,0.2741,0.12238,2.14774,2.51075,2.42788,0.000866847,0.000866847,0.000866847
5,33.5938,1.20195,0.96989,1.36577,0.55365,0.51914,0.4953,0.24896,1.63988,2.10659,2.09566,0.00107303,0.00107303,0.00107303
6,38.2329,1.25205,0.98217,1.39268,0.20837,0.08545,0.03122,0.01717,3.41595,inf,19.1855,0.00127355,0.00127355,0.00127355
7,42.9301,1.23619,0.95406,1.38824,0.37382,0.34762,0.25952,0.11967,1.6674,4.02932,1.99488,0.0013229,0.0013229,0.0013229
8,47.462,1.19414,0.95171,1.3539,0.80681,0.581,0.72862,0.40063,1.83484,2.22612,2.13497,0.00130521,0.00130521,0.00130521
9,51.9519,1.18334,0.90881,1.34502,0.52646,0.32805,0.30805,0.13917,2.45584,2.97271,2.72342,0.00128753,0.00128753,0.00128753
10,56.4793,1.16094,0.90788,1.32847,0.54756,0.69205,0.63834,0.33707,1.61223,1.58941,1.85303,0.00126985,0.00126985,0.00126985
11,61.0121,1.1356,0.84405,1.28245,0.32953,0.24289,0.19036,0.07567,3.50779,4.13898,3.84934,0.00125216,0.00125216,0.00125216
12,65.6944,1.16329,0.88623,1.32711,0.74538,0.74708,0.831,0.48494,1.23449,1.06004,1.46003,0.00123448,0.00123448,0.00123448
13,70.354,1.16504,0.84858,1.31311,0.79899,0.89248,0.90329,0.59812,1.16741,0.75465,1.39147,0.00121679,0.00121679,0.00121679
14,75.037,1.12676,0.83768,1.29578,0.75378,0.88059,0.90293,0.60082,1.1964,0.98643,1.45939,0.00119911,0.00119911,0.00119911
15,79.8407,1.11941,0.84171,1.30842,0.75492,0.89352,0.89909,0.57627,1.12576,0.74768,1.40551,0.00118143,0.00118143,0.00118143
16,84.2932,1.13634,0.85452,1.30616,0.73124,0.60622,0.74268,0.46131,1.25368,0.97591,1.47206,0.00116374,0.00116374,0.00116374
17,88.7819,1.12122,0.85523,1.28624,0.6213,0.83095,0.8691,0.53683,1.14389,0.79817,1.41163,0.00114606,0.00114606,0.00114606
18,93.2702,1.14068,0.84173,1.29052,0.74911,0.81443,0.86838,0.54363,1.13188,0.77208,1.38128,0.00112837,0.00112837,0.00112837
19,97.694,1.12148,0.83507,1.27871,0.76798,0.88324,0.89908,0.60171,1.13677,1.01172,1.39265,0.00111069,0.00111069,0.00111069
20,102.42,1.14349,0.85549,1.31452,0.77614,0.62077,0.78113,0.44302,1.16384,0.83359,1.38378,0.00109301,0.00109301,0.00109301
21,106.959,1.10502,0.81926,1.28595,0.81314,0.89451,0.90354,0.5868,1.12494,0.82502,1.35399,0.00107532,0.00107532,0.00107532
22,111.58,1.10263,0.78992,1.27603,0.79404,0.86362,0.9162,0.57525,1.11518,0.72729,1.35044,0.00105764,0.00105764,0.00105764
23,116.04,1.102,0.79627,1.28768,0.83553,0.87704,0.90763,0.6048,1.06159,0.73685,1.30666,0.00103995,0.00103995,0.00103995
24,120.744,1.09207,0.79176,1.27225,0.76699,0.80322,0.90973,0.59374,1.06209,0.76364,1.29691,0.00102227,0.00102227,0.00102227
25,125.302,1.08057,0.78438,1.27095,0.83548,0.90829,0.92312,0.61825,1.10142,0.69662,1.34706,0.00100459,0.00100459,0.00100459
26,130.022,1.07581,0.76408,1.24327,0.81974,0.84085,0.86963,0.56502,1.08229,0.91943,1.34148,0.000986903,0.000986903,0.000986903
27,134.506,1.08206,0.79023,1.2646,0.84612,0.9074,0.91598,0.63125,1.02476,0.64239,1.27813,0.000969219,0.000969219,0.000969219
28,139.875,1.07952,0.75325,1.25158,0.78158,0.83308,0.84846,0.53055,1.12217,0.70733,1.36074,0.000951535,0.000951535,0.000951535
29,144.336,1.05146,0.75856,1.24763,0.89277,0.86173,0.93106,0.6503,1.04397,0.62112,1.28815,0.000933851,0.000933851,0.000933851
30,149.079,1.05783,0.76006,1.24236,0.82842,0.91109,0.91893,0.61827,1.04101,0.66212,1.2976,0.000916168,0.000916168,0.000916168
31,153.574,1.05948,0.76631,1.2469,0.82163,0.90299,0.92381,0.62686,1.05687,0.66024,1.30364,0.000898484,0.000898484,0.000898484
32,158.193,1.07537,0.74408,1.24819,0.82821,0.90621,0.93207,0.62802,1.05428,0.63051,1.30058,0.0008808,0.0008808,0.0008808
33,162.715,1.059,0.74262,1.23848,0.85269,0.86144,0.91794,0.63232,1.04394,0.74581,1.28642,0.000863116,0.000863116,0.000863116
34,167.223,1.05808,0.74108,1.25367,0.84728,0.88013,0.91887,0.61968,1.04323,0.67672,1.27902,0.000845432,0.000845432,0.000845432
35,171.759,1.04279,0.72068,1.24746,0.85688,0.9138,0.92679,0.65093,1.02196,0.62584,1.27672,0.000827748,0.000827748,0.000827748
36,176.509,1.04901,0.74708,1.23693,0.8013,0.87722,0.89414,0.58928,1.08521,0.86651,1.33339,0.000810064,0.000810064,0.000810064
37,180.986,1.02848,0.73988,1.21222,0.82307,0.94031,0.92709,0.64372,1.017,0.61768,1.27437,0.00079238,0.00079238,0.00079238
38,185.444,1.01444,0.72012,1.2205,0.84524,0.9282,0.92749,0.64265,1.03316,0.62795,1.27921,0.000774697,0.000774697,0.000774697
