epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.978,2.05473,5.08886,3.62329,0.97009,0.11111,0.25193,0.0635,2.49038,4.40594,4.50846,0.0910009,9e-07,9e-07
2,22.2755,1.40842,2.76132,2.34867,0.68766,0.33333,0.36229,0.12189,2.18877,3.2728,2.93827,0.0810018,1.80595e-06,1.80595e-06
3,29.6397,1.08517,1.55897,1.8134,0.12381,0.38462,0.34354,0.0895,1.86495,3.24612,2.54134,0.0710026,2.6129e-06,2.6129e-06
4,36.2178,0.95971,1.2348,1.66937,0.02843,1,0.3341,0.15141,1.92224,3.09462,2.4803,0.0610033,3.32085e-06,3.32085e-06
5,43.794,0.88081,1.04851,1.57478,0.53877,0.31549,0.43583,0.20569,1.62069,2.69746,2.1388,0.0510039,3.9298e-06,3.9298e-06
6,50.9068,0.73033,0.92937,1.41757,0.31834,0.64957,0.4334,0.28735,1.29825,1.98887,1.734,0.0410044,4.43975e-06,4.43975e-06
7,58.0778,0.69388,0.83804,1.37788,0.38569,0.86972,0.49782,0.37601,0.92829,1.76182,1.39061,0.0310049,4.8507e-06,4.8507e-06
8,65.0099,0.63151,0.80063,1.31776,0.39041,0.92967,0.54104,0.4424,0.75613,1.66784,1.2473,0.0210052,5.16265e-06,5.16265e-06
9,71.7513,0.56605,0.73401,1.235,0.49237,0.69658,0.69371,0.6074,0.63646,1.44245,1.10524,0.0110054,5.3756e-06,5.3756e-06
10,78.8945,0.5854,0.73006,1.25171,0.70447,0.76335,0.82909,0.72987,0.56295,1.11803,1.02607,0.00100549,5.48955e-06,5.48955e-06
11,87.7923,0.53688,0.70825,1.18529,0.66008,0.81678,0.83642,0.7569,0.52422,1.05399,0.98148,5.05e-06,5.05e-06,5.05e-06
12,95.1168,0.56042,0.66587,1.2142,0.70588,0.84953,0.84028,0.76351,0.49442,1.03994,0.94546,4.555e-06,4.555e-06,4.555e-06
13,101.879,0.50807,0.63603,1.17483,0.71231,0.8859,0.85265,0.77359,0.4759,1.01234,0.92372,4.06e-06,4.06e-06,4.06e-06
14,109.248,0.51208,0.63662,1.16911,0.72241,0.89252,0.88606,0.82389,0.43655,0.97603,0.8884,3.565e-06,3.565e-06,3.565e-06
15,116.242,0.50409,0.62318,1.16454,0.72929,0.88936,0.90763,0.85717,0.41787,0.94381,0.87145,3.07e-06,3.07e-06,3.07e-06
16,123.557,0.50692,0.57546,1.16406,0.84826,0.76329,0.91708,0.86191,0.39967,0.90986,0.85695,2.575e-06,2.575e-06,2.575e-06
17,130.679,0.51152,0.58981,1.16171,0.80948,0.78373,0.91559,0.85954,0.39817,0.89625,0.85351,2.08e-06,2.08e-06,2.08e-06
18,137.433,0.46306,0.60048,1.11435,0.80594,0.81404,0.93388,0.88125,0.39239,0.88644,0.8443,1.585e-06,1.585e-06,1.585e-06
19,144.752,0.51372,0.58721,1.1712,0.8119,0.80514,0.92509,0.86282,0.39117,0.88275,0.84095,1.09e-06,1.09e-06,1.09e-06
20,151.332,0.478,0.56889,1.12274,0.81388,0.81036,0.92833,0.86604,0.38881,0.86349,0.83587,5.95e-07,5.95e-07,5.95e-07
